,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[240],[14.50151057],[1895],1655
1,A006650,대한유화,[20000],[17.93721973],[131500],111500
2,A088130,동아엘텍,[420],[5.63002681],[7880],7460
3,A054800,아이디스홀딩스,[650],[5.48523207],[12500],11850
4,A029460,케이씨,[700],[5.55555556],[13300],12600
5,A023600,삼보판지,[70],[0.78299776],[9010],8940
6,A003240,태광산업,[177000],[17.89686552],[1166000],989000
7,A009970,영원무역홀딩스,[-3000],[-5.88235294],[48000],51000
8,A900280,골든센츄리,[-189],[-24.80314961],[573],762
9,A013120,동원개발,[190],[4.57831325],[4340],4150
10,A101330,모베이스,[-340],[-6.74603175],[4700],5040
11,A016590,신대양제지,[100],[0.14326648],[69900],69800
12,A004490,세방전지,[5100],[13.67292225],[42400],37300
13,A093050,LF,[-450],[-2.17391304],[20250],20700
14,A088910,동우팜투테이블,[300],[8.62068966],[3780],3480
15,A016090,대현,[50],[2.07039337],[2465],2415
16,A017890,한국알콜,[410],[5.20304569],[8290],7880
17,A018310,삼목에스폼,[500],[5.29100529],[9950],9450
18,A092440,기신정기,[-45],[-1.20643432],[3685],3730
19,A039010,현대통신,[40],[0.49751244],[8080],8040
20,A900310,컬러레이,[570],[39.86013986],[2000],1430
21,A049070,인탑스,[-2100],[-13.81578947],[13100],15200
22,A010240,흥국,[500],[11.03752759],[5030],4530
23,A007540,샘표,[1550],[3.6643026],[43850],42300
24,A052330,코텍,[250],[1.96078431],[13000],12750
25,A001130,대한제분,[-12500],[-6.94444444],[167500],180000
26,A053610,프로텍,[-850],[-4.67032967],[17350],18200
27,A002170,삼양통상,[3700],[6.28183362],[62600],58900
28,A084110,휴온스글로벌,[2700],[10.15037594],[29300],26600
29,A049430,코메론,[210],[2.69922879],[7990],7780
30,A069510,에스텍,[-250],[-2.09205021],[11700],11950
31,A020000,한섬,[300],[1.00840336],[30050],29750
32,A005930,삼성전자,[3200],[7.28929385],[47100],43900
33,A000480,조선내화,[2700],[3.17647059],[87700],85000
34,A072710,농심홀딩스,[16100],[22.20689655],[88600],72500
35,A036190,금화피에스시,[950],[3.27586207],[29950],29000
36,A005440,현대그린푸드,[1050],[9.63302752],[11950],10900
37,A004000,롯데정밀화학,[3650],[8.32383124],[47500],43850
38,A109860,동일금속,[0],[0.],[11550],11550
39,A083550,케이엠,[510],[7.95631825],[6920],6410
40,A039340,한국경제TV,[325],[7.58459743],[4610],4285
41,A004970,신라교역,[250],[2.01612903],[12650],12400
42,A004590,한국가구,[240],[6.12244898],[4160],3920
43,A102710,이엔에프테크놀로,[-600],[-2.81690141],[20700],21300
44,A028150,GS홈쇼핑,[4400],[2.84054229],[159300],154900
45,A094840,슈프리마에이치큐,[20],[0.35650624],[5630],5610
46,A079940,가비아,[20],[0.25062657],[8000],7980
47,A015710,코콤,[330],[5.07692308],[6830],6500
48,A221980,케이디켐,[450],[3.86266094],[12100],11650
49,A067920,이글루시큐리티,[370],[8.70588235],[4620],4250
50,A003780,진양산업,[135],[4.19906687],[3350],3215
51,A001560,제일연마,[80],[1.26382306],[6410],6330
52,A036810,에프에스티,[50],[0.72463768],[6950],6900
53,A002290,삼일기업공사,[260],[8.78378378],[3220],2960
54,A241790,오션브릿지,[-570],[-5.42857143],[9930],10500
55,A189690,포시에스,[-110],[-1.75438596],[6160],6270
56,A256940,케이피에스,[3750],[36.94581281],[13900],10150
57,A122310,제노레이,[2050],[12.97468354],[17850],15800
58,A105740,디케이락,[1850],[20.55555556],[10850],9000
59,A192440,슈피겐코리아,[-1200],[-2.06540448],[56900],58100
60,A036830,솔브레인,[-800],[-1.1299435],[70000],70800
61,A228850,레이언스,[500],[4.46428571],[11700],11200
62,A203450,유니온커뮤니티,[195],[7.35849057],[2845],2650
63,A243070,휴온스,[450],[1.02974828],[44150],43700
64,A120240,대정화금,[-50],[-0.36231884],[13750],13800
65,A033270,유나이티드제약,[1500],[8.10810811],[20000],18500
66,A018250,애경산업,[3350],[11.53184165],[32400],29050
67,A036670,KCI,[-240],[-2.42669363],[9650],9890
68,A284740,쿠쿠홈시스,[-6100],[-13.36254107],[39550],45650
69,A033290,코웰패션,[-200],[-3.16957211],[6110],6310
70,A086450,동국제약,[2700],[4.2519685],[66200],63500
71,A064760,티씨케이,[7200],[14.84536082],[55700],48500
72,A100700,세운메디칼,[370],[11.49068323],[3590],3220
73,A119860,다나와,[1450],[7.05596107],[22000],20550
